iter	Passed	Remaining
896	544422	62514
897	545030	61907
898	545621	61298
899	546208	60689
900	546795	60080
901	547392	59472
902	547986	58864
903	548715	58270
904	549336	57665
905	549931	57056
906	550525	56448
907	551113	55839
908	551715	55232
909	552310	54624
910	552907	54016
911	553501	53408
912	554101	52800
913	554698	52192
914	555287	51584
915	555882	50976
916	556471	50367
917	557068	49759
918	557662	49151
919	558252	48543
920	558842	47935
921	559440	47327
922	560035	46720
923	560640	46113
924	561233	45505
925	561827	44897
926	562420	44289
927	563010	43681
928	563598	43073
929	564197	42466
930	564794	41859
931	565385	41251
932	565975	40643
933	566566	40035
934	567170	39428
935	567774	38822
936	568359	38214
937	568953	37606
938	569547	36999
939	570140	36391
940	570730	35784
941	571327	35177
942	571927	34570
943	572530	33963
944	573112	33355
945	573723	32749
946	574322	32142
947	574912	31535
948	575502	30927
949	576107	30321
950	576708	29714
951	577398	29112
952	577988	28505
953	578597	27898
954	579194	27291
955	579789	26684
956	580375	26077
957	580976	25470
958	581570	24863
959	582168	24257
960	582769	23650
961	583372	23043
962	583967	22436
963	584569	21830
964	585159	21223
965	585745	20616
966	586337	20009
967	586936	19402
968	587537	18796
969	588124	18189
970	588718	17582
971	589315	16976
972	589909	16369
973	590499	15762
974	591092	15156
975	591692	14549
976	592288	13943
977	592889	13336
978	593487	12730
979	594087	12124
980	594681	11517
981	595265	10911
982	595859	10304
983	596455	9698
984	597065	9092
985	597653	8485
986	598284	7880
987	598891	7273
988	599482	6667
989	600072	6061
990	600660	5455
991	601265	4848
992	601876	4242
993	602466	3636
994	603061	3030
995	603654	2424
996	604259	1818
997	604854	1212
998	605496	606
999	606093	0
