iter	TotalF1	MultiClass
139	0.7536314713	0.8294637497
140	0.7545476731	0.8266064852
141	0.7559294934	0.8237950429
142	0.7564541084	0.8215608623
143	0.7574245871	0.8181578588
144	0.7576051523	0.8165593428
145	0.7587876703	0.8141830637
146	0.7598953075	0.8117875764
147	0.7605505145	0.8097789688
148	0.7608047364	0.8069429128
149	0.763280123	0.8028678689
150	0.7634448106	0.8012646494
151	0.7642636121	0.7992496187
152	0.7661220102	0.7954728733
153	0.7664505695	0.7942279286
154	0.7676304863	0.7923425255
155	0.7674380111	0.7895202008
156	0.7693778294	0.7882230396
157	0.7701325717	0.7860446201
158	0.771576186	0.7830631178
159	0.7724465678	0.7801976058
160	0.7743733586	0.7775113908
161	0.7750893141	0.7759163075
162	0.7737760256	0.7727979042
163	0.7746508462	0.7708659837
164	0.7751942167	0.7694413285
165	0.7755506077	0.7681969443
166	0.77534528	0.7668536207
167	0.7785243811	0.7638316296
168	0.7792019313	0.7621677351
169	0.7794528251	0.7602801417
170	0.7799333851	0.7576777086
171	0.7803643265	0.7560718637
172	0.7807811125	0.7550156267
173	0.7817978779	0.7538066307
174	0.7814168311	0.7521149055
175	0.7817757695	0.7506917842
176	0.7822709659	0.7487314596
177	0.7826476247	0.7476027916
178	0.7828613422	0.7461969896
179	0.7833848567	0.7448326945
180	0.7839832767	0.7435424354
181	0.7847667065	0.7415903127
182	0.7851766624	0.7400472823
183	0.785439589	0.7392996036
184	0.7870320754	0.73752472
185	0.7885136358	0.7353588724
186	0.7887978201	0.7338591145
187	0.7898456809	0.732492154
188	0.789768237	0.7312515515
189	0.7898428281	0.7305410188
190	0.7916418933	0.7288652177
191	0.7917867404	0.726783575
192	0.7920822416	0.7253049157
193	0.7930064449	0.7241578735
194	0.7942588154	0.72327368
195	0.7947466958	0.7225263661
196	0.7946994174	0.7215002337
197	0.795404984	0.7207375484
198	0.7972778661	0.7186581453
199	0.7980520575	0.716648081
200	0.7990796721	0.7151661123
201	0.7985303274	0.7141901792
202	0.798759146	0.713108201
203	0.7997666264	0.7114602989
204	0.8002995326	0.709962906
205	0.8000412161	0.7081541646
206	0.800360461	0.706650958
207	0.8007407388	0.7059706089
208	0.8008289295	0.7053657444
209	0.8012623029	0.7042395292
210	0.8015836983	0.7032835676
211	0.801923022	0.7025157986
212	0.8025182215	0.7014220241
213	0.8030511355	0.7000346388
214	0.804054057	0.698692323
215	0.8047865026	0.6979388293
216	0.8054922606	0.697141297
217	0.8054932403	0.6965322581
218	0.8047089664	0.6955189053
219	0.8052931336	0.6946057551
220	0.8057089264	0.6930546556
221	0.8065022505	0.6920611603
222	0.8073009899	0.6914925282
223	0.8083226637	0.6904282459
224	0.8086945311	0.6899382375
225	0.8089868833	0.6891185823
226	0.8091201422	0.6883778687
227	0.8091946911	0.6872837799
228	0.8087719949	0.6862300771
229	0.8090310921	0.6858080772
230	0.8094310179	0.6843005899
231	0.8089314925	0.6831014897
232	0.8089460783	0.6825973749
233	0.8089460783	0.6821317013
234	0.8097452267	0.6808093766
235	0.8099099541	0.6797419261
236	0.8097754777	0.6793928684
237	0.8102363221	0.6784259293
238	0.8104676907	0.6777761063
239	0.811310367	0.6760887499
240	0.8116573959	0.6755476294
241	0.8124524097	0.6751022401
242	0.8124579785	0.6745349053
243	0.8118895441	0.6734381467
244	0.8121472285	0.6725394163
245	0.8127804764	0.6716875625
246	0.813331957	0.6714121036
247	0.8138246002	0.6703924434
248	0.8135766708	0.6694722953
249	0.8135417855	0.6684858705
250	0.8140215471	0.667869413
251	0.8140471223	0.6672595154
252	0.814347701	0.6661002595
253	0.8144650662	0.6652935772
254	0.8141835802	0.6639505523
255	0.8146280976	0.6628694437
256	0.8152241597	0.662371026
257	0.81559703	0.6617943965
258	0.81612684	0.6606182396
259	0.8168062633	0.6602435854
260	0.8168111438	0.6598259704
261	0.8171836133	0.6586627284
262	0.8181414229	0.6576105879
263	0.8180264432	0.6555418383
264	0.8181046821	0.6549436266
265	0.8182451608	0.6541476593
266	0.8183772758	0.653811578
